"adsh","tag","version","coreg","ddate","qtrs","uom","value","footnote"
"0001564590-16-026820","EntityCommonStockSharesOutstanding","dei/2014",,20161031,0,"shares",1.50E+08,
"0001564590-16-026820","AccountsReceivableNetCurrent","us-gaap/2016",,20151231,0,"USD",1.69E+08,
"0001564590-16-026820","AccountsReceivableNetCurrent","us-gaap/2016",,20160930,0,"USD",3.27E+08,
"0001564590-16-026820","AccumulatedOtherComprehensiveIncomeLossNetOfTax","us-gaap/2016",,20151231,0,"USD",-3556000,
"0001564590-16-026820","AccumulatedOtherComprehensiveIncomeLossNetOfTax","us-gaap/2016",,20160930,0,"USD",2.53E+07,
"0001564590-16-026820","AccruedLiabilitiesCurrent","us-gaap/2016",,20151231,0,"USD",4.23E+08,
"0001564590-16-026820","AccruedLiabilitiesCurrent","us-gaap/2016",,20160930,0,"USD",6.95E+08,
"0001564590-16-026820","AdditionalPaidInCapitalCommonStock","us-gaap/2016",,20151231,0,"USD",3.41E+09,
"0001564590-16-026820","AdditionalPaidInCapitalCommonStock","us-gaap/2016",,20160930,0,"USD",5.53E+09,
"0001564590-16-026820","AccountsPayableCurrent","us-gaap/2016",,20151231,0,"USD",9.16E+08,
"0001564590-16-026820","AccountsPayableCurrent","us-gaap/2016",,20160930,0,"USD",1.61E+09,
"0001564590-16-026820","Assets","us-gaap/2016",,20151231,0,"USD",8.07E+09,
"0001564590-16-026820","Assets","us-gaap/2016",,20160930,0,"USD",1.26E+10,
"0001564590-16-026820","AssetsCurrent","us-gaap/2016",,20151231,0,"USD",2.78E+09,
"0001564590-16-026820","AssetsCurrent","us-gaap/2016",,20160930,0,"USD",5.17E+09,
"0001564590-16-026820","CashAndCashEquivalentsAtCarryingValue","us-gaap/2016",,20141231,0,"USD",1.91E+09,
"0001564590-16-026820","CashAndCashEquivalentsAtCarryingValue","us-gaap/2016",,20150930,0,"USD",1.43E+09,
"0001564590-16-026820","CashAndCashEquivalentsAtCarryingValue","us-gaap/2016",,20151231,0,"USD",1.20E+09,
"0001564590-16-026820","CashAndCashEquivalentsAtCarryingValue","us-gaap/2016",,20160930,0,"USD",3.08E+09,
"0001564590-16-026820","CashAndCashEquivalentsPeriodIncreaseDecrease","us-gaap/2016",,20150930,3,"USD",-4.80E+08,
"0001564590-16-026820","CashAndCashEquivalentsPeriodIncreaseDecrease","us-gaap/2016",,20160930,3,"USD",1.89E+09,
"0001564590-16-026820","CommitmentsAndContingencies","us-gaap/2016",,20151231,0,"USD",,
"0001564590-16-026820","CommitmentsAndContingencies","us-gaap/2016",,20160930,0,"USD",,
"0001564590-16-026820","ComprehensiveIncomeNetOfTax","us-gaap/2016",,20150930,1,"USD",-2.39E+08,
"0001564590-16-026820","ComprehensiveIncomeNetOfTax","us-gaap/2016",,20150930,3,"USD",-5.92E+08,
"0001564590-16-026820","ComprehensiveIncomeNetOfTax","us-gaap/2016",,20160930,1,"USD",1.30E+07,
"0001564590-16-026820","ComprehensiveIncomeNetOfTax","us-gaap/2016",,20160930,3,"USD",-5.25E+08,
"0001564590-16-026820","CommonStockValue","us-gaap/2016",,20151231,0,"USD",131000,
"0001564590-16-026820","CommonStockValue","us-gaap/2016",,20160930,0,"USD",150000,
"0001564590-16-026820","CostOfGoodsSold","us-gaap/2016",,20150930,1,"USD",5.83E+08,
"0001564590-16-026820","CostOfGoodsSold","us-gaap/2016",,20150930,3,"USD",1.81E+09,
"0001564590-16-026820","CostOfGoodsSold","us-gaap/2016",,20160930,1,"USD",1.36E+09,
"0001564590-16-026820","CostOfGoodsSold","us-gaap/2016",,20160930,3,"USD",2.90E+09,
"0001564590-16-026820","CostOfRevenue","us-gaap/2016",,20150930,1,"USD",7.05E+08,
"0001564590-16-026820","CostOfRevenue","us-gaap/2016",,20150930,3,"USD",2.13E+09,
"0001564590-16-026820","CostOfRevenue","us-gaap/2016",,20160930,1,"USD",1.66E+09,
"0001564590-16-026820","CostOfRevenue","us-gaap/2016",,20160930,3,"USD",3.55E+09,
"0001564590-16-026820","CustomerDepositsCurrent","us-gaap/2016",,20151231,0,"USD",2.83E+08,
"0001564590-16-026820","CustomerDepositsCurrent","us-gaap/2016",,20160930,0,"USD",6.90E+08,
"0001564590-16-026820","DeferredRevenueNoncurrent","us-gaap/2016",,20151231,0,"USD",4.46E+08,
"0001564590-16-026820","DeferredRevenueNoncurrent","us-gaap/2016",,20160930,0,"USD",5.81E+08,
"0001564590-16-026820","DeferredRevenueCurrent","us-gaap/2016",,20151231,0,"USD",4.24E+08,
"0001564590-16-026820","DeferredRevenueCurrent","us-gaap/2016",,20160930,0,"USD",6.26E+08,
"0001564590-16-026820","DepreciationAndAmortization","us-gaap/2016",,20150930,3,"USD",2.79E+08,
"0001564590-16-026820","DepreciationAndAmortization","us-gaap/2016",,20160930,3,"USD",6.20E+08,
"0001564590-16-026820","EarningsPerShareBasic","us-gaap/2016",,20150930,1,"USD",-1.78,
"0001564590-16-026820","EarningsPerShareBasic","us-gaap/2016",,20150930,3,"USD",-4.47,
"0001564590-16-026820","EarningsPerShareBasic","us-gaap/2016",,20160930,1,"USD",0.15,
"0001564590-16-026820","EarningsPerShareBasic","us-gaap/2016",,20160930,3,"USD",-3.94,
"0001564590-16-026820","EarningsPerShareDiluted","us-gaap/2016",,20150930,1,"USD",-1.78,
"0001564590-16-026820","EarningsPerShareDiluted","us-gaap/2016",,20150930,3,"USD",-4.47,
"0001564590-16-026820","EarningsPerShareDiluted","us-gaap/2016",,20160930,1,"USD",0.14,
"0001564590-16-026820","EarningsPerShareDiluted","us-gaap/2016",,20160930,3,"USD",-3.94,
"0001564590-16-026820","EffectOfExchangeRateOnCashAndCashEquivalents","us-gaap/2016",,20150930,3,"USD",-2.42E+07,
"0001564590-16-026820","EffectOfExchangeRateOnCashAndCashEquivalents","us-gaap/2016",,20160930,3,"USD",1.35E+07,
"0001564590-16-026820","ForeignCurrencyTransactionGainLossBeforeTax","us-gaap/2016",,20150930,3,"USD",-3.56E+07,
"0001564590-16-026820","ForeignCurrencyTransactionGainLossBeforeTax","us-gaap/2016",,20160930,3,"USD",-1.04E+07,
"0001564590-16-026820","GainLossOnSaleOfPropertyPlantEquipment","us-gaap/2016",,20150930,3,"USD",-8800000,
"0001564590-16-026820","GainLossOnSaleOfPropertyPlantEquipment","us-gaap/2016",,20160930,3,"USD",-1.22E+07,
"0001564590-16-026820","GrossProfit","us-gaap/2016",,20150930,1,"USD",2.31E+08,
"0001564590-16-026820","GrossProfit","us-gaap/2016",,20150930,3,"USD",7.05E+08,
"0001564590-16-026820","GrossProfit","us-gaap/2016",,20160930,1,"USD",6.37E+08,
"0001564590-16-026820","GrossProfit","us-gaap/2016",,20160930,3,"USD",1.16E+09,
"0001564590-16-026820","IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest","us-gaap/2016",,20150930,1,"USD",-2.28E+08,
"0001564590-16-026820","IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest","us-gaap/2016",,20150930,3,"USD",-5.60E+08,
"0001564590-16-026820","IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest","us-gaap/2016",,20160930,1,"USD",3.00E+07,
"0001564590-16-026820","IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest","us-gaap/2016",,20160930,3,"USD",-5.38E+08,
"0001564590-16-026820","IncomeTaxExpenseBenefit","us-gaap/2016",,20150930,1,"USD",1784000,
"0001564590-16-026820","IncomeTaxExpenseBenefit","us-gaap/2016",,20150930,3,"USD",7991000,
"0001564590-16-026820","IncomeTaxExpenseBenefit","us-gaap/2016",,20160930,1,"USD",8133000,
"0001564590-16-026820","IncomeTaxExpenseBenefit","us-gaap/2016",,20160930,3,"USD",1.56E+07,
"0001564590-16-026820","IncreaseDecreaseInAccountsReceivable","us-gaap/2016",,20150930,3,"USD",-7.84E+07,
"0001564590-16-026820","IncreaseDecreaseInAccountsReceivable","us-gaap/2016",,20160930,3,"USD",1.11E+08,
"0001564590-16-026820","IncreaseDecreaseInAccountsPayableAndAccruedLiabilities","us-gaap/2016",,20150930,3,"USD",8.92E+07,
"0001564590-16-026820","IncreaseDecreaseInAccountsPayableAndAccruedLiabilities","us-gaap/2016",,20160930,3,"USD",6.98E+08,
"0001564590-16-026820","IncreaseDecreaseInDeferredRevenue","us-gaap/2016",,20150930,3,"USD",1.86E+08,
"0001564590-16-026820","IncreaseDecreaseInDeferredRevenue","us-gaap/2016",,20160930,3,"USD",2.56E+08,
"0001564590-16-026820","IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits","us-gaap/2016",,20150930,3,"USD",2.03E+07,
"0001564590-16-026820","IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits","us-gaap/2016",,20160930,3,"USD",4.09E+08,
"0001564590-16-026820","IncreaseDecreaseInOtherNoncurrentLiabilities","us-gaap/2016",,20150930,3,"USD",4.02E+07,
"0001564590-16-026820","IncreaseDecreaseInOtherNoncurrentLiabilities","us-gaap/2016",,20160930,3,"USD",4.43E+07,
"0001564590-16-026820","IncreaseDecreaseInOtherOperatingAssets","us-gaap/2016",,20150930,3,"USD",1.43E+07,
"0001564590-16-026820","IncreaseDecreaseInOtherOperatingAssets","us-gaap/2016",,20160930,3,"USD",2586000,
"0001564590-16-026820","IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets","us-gaap/2016",,20150930,3,"USD",3.60E+07,
"0001564590-16-026820","IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets","us-gaap/2016",,20160930,3,"USD",-3.46E+07,
"0001564590-16-026820","IncreaseDecreaseInRestrictedCash","us-gaap/2016",,20150930,3,"USD",2.34E+07,
"0001564590-16-026820","IncreaseDecreaseInRestrictedCash","us-gaap/2016",,20160930,3,"USD",7.92E+07,
"0001564590-16-026820","InterestExpense","us-gaap/2016",,20150930,1,"USD",2.93E+07,
"0001564590-16-026820","InterestExpense","us-gaap/2016",,20150930,3,"USD",8.02E+07,
"0001564590-16-026820","InterestExpense","us-gaap/2016",,20160930,1,"USD",4.67E+07,
"0001564590-16-026820","InterestExpense","us-gaap/2016",,20160930,3,"USD",1.34E+08,
"0001564590-16-026820","InventoryWriteDown","us-gaap/2016",,20150930,3,"USD",2.33E+07,
"0001564590-16-026820","InventoryWriteDown","us-gaap/2016",,20160930,3,"USD",5.03E+07,
"0001564590-16-026820","InvestmentIncomeInterest","us-gaap/2016",,20150930,1,"USD",327000,
"0001564590-16-026820","InvestmentIncomeInterest","us-gaap/2016",,20150930,3,"USD",758000,
"0001564590-16-026820","InvestmentIncomeInterest","us-gaap/2016",,20160930,1,"USD",2858000,
"0001564590-16-026820","InvestmentIncomeInterest","us-gaap/2016",,20160930,3,"USD",6351000,
"0001564590-16-026820","InventoryNet","us-gaap/2016",,20151231,0,"USD",1.28E+09,
"0001564590-16-026820","InventoryNet","us-gaap/2016",,20160930,0,"USD",1.60E+09,
"0001564590-16-026820","Liabilities","us-gaap/2016",,20151231,0,"USD",6.94E+09,
"0001564590-16-026820","Liabilities","us-gaap/2016",,20160930,0,"USD",9.90E+09,
"0001564590-16-026820","LiabilitiesAndStockholdersEquity","us-gaap/2016",,20151231,0,"USD",8.07E+09,
"0001564590-16-026820","LiabilitiesAndStockholdersEquity","us-gaap/2016",,20160930,0,"USD",1.26E+10,
"0001564590-16-026820","LiabilitiesCurrent","us-gaap/2016",,20151231,0,"USD",2.81E+09,
"0001564590-16-026820","LiabilitiesCurrent","us-gaap/2016",,20160930,0,"USD",4.08E+09,
"0001564590-16-026820","LongTermDebtAndCapitalLeaseObligations","us-gaap/2016",,20151231,0,"USD",2.02E+09,
"0001564590-16-026820","LongTermDebtAndCapitalLeaseObligations","us-gaap/2016",,20160930,0,"USD",2.44E+09,
"0001564590-16-026820","LongTermDebtAndCapitalLeaseObligationsCurrent","us-gaap/2016",,20151231,0,"USD",6.28E+08,
"0001564590-16-026820","LongTermDebtAndCapitalLeaseObligationsCurrent","us-gaap/2016",,20160930,0,"USD",2.61E+08,
"0001564590-16-026820","NetCashProvidedByUsedInFinancingActivitiesContinuingOperations","us-gaap/2016",,20150930,3,"USD",1.30E+09,
"0001564590-16-026820","NetCashProvidedByUsedInFinancingActivitiesContinuingOperations","us-gaap/2016",,20160930,3,"USD",2.37E+09,
"0001564590-16-026820","NetIncomeLoss","us-gaap/2016",,20150930,1,"USD",-2.30E+08,
"0001564590-16-026820","NetIncomeLoss","us-gaap/2016",,20150930,3,"USD",-5.68E+08,
"0001564590-16-026820","NetIncomeLoss","us-gaap/2016",,20160930,1,"USD",2.19E+07,
"0001564590-16-026820","NetIncomeLoss","us-gaap/2016",,20160930,3,"USD",-5.54E+08,
"0001564590-16-026820","NetCashProvidedByUsedInInvestingActivitiesContinuingOperations","us-gaap/2016",,20150930,3,"USD",-1.26E+09,
"0001564590-16-026820","NetCashProvidedByUsedInInvestingActivitiesContinuingOperations","us-gaap/2016",,20160930,3,"USD",-8.22E+08,
"0001564590-16-026820","NetCashProvidedByUsedInOperatingActivitiesContinuingOperations","us-gaap/2016",,20150930,3,"USD",-4.95E+08,
"0001564590-16-026820","NetCashProvidedByUsedInOperatingActivitiesContinuingOperations","us-gaap/2016",,20160930,3,"USD",3.24E+08,
"0001564590-16-026820","NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1","us-gaap/2016",,20150930,3,"USD",3.14E+08,
"0001564590-16-026820","NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1","us-gaap/2016",,20160930,3,"USD",4.59E+08,
"0001564590-16-026820","OperatingIncomeLoss","us-gaap/2016",,20150930,1,"USD",-1.84E+08,
"0001564590-16-026820","OperatingIncomeLoss","us-gaap/2016",,20150930,3,"USD",-4.56E+08,
"0001564590-16-026820","OperatingIncomeLoss","us-gaap/2016",,20160930,1,"USD",8.56E+07,
"0001564590-16-026820","OperatingIncomeLoss","us-gaap/2016",,20160930,3,"USD",-4.01E+08,
"0001564590-16-026820","OperatingExpenses","us-gaap/2016",,20150930,1,"USD",4.15E+08,
"0001564590-16-026820","OperatingExpenses","us-gaap/2016",,20150930,3,"USD",1.16E+09,
"0001564590-16-026820","OperatingExpenses","us-gaap/2016",,20160930,1,"USD",5.51E+08,
"0001564590-16-026820","OperatingExpenses","us-gaap/2016",,20160930,3,"USD",1.56E+09,
"0001564590-16-026820","OperatingLeasesIncomeStatementLeaseRevenue","us-gaap/2016",,20150930,1,"USD",8.35E+07,
"0001564590-16-026820","OperatingLeasesIncomeStatementLeaseRevenue","us-gaap/2016",,20150930,3,"USD",2.07E+08,
"0001564590-16-026820","OperatingLeasesIncomeStatementLeaseRevenue","us-gaap/2016",,20160930,1,"USD",2.31E+08,
